line,point,temperature,humidity,pressure,longitude,latitude,elevation,time,sensors
40,4001,26,30,993.25,116.0024949,28.37083489,4500,1704931200,/h2s:0.248/so2:0.685/ch4:609/cs2:1691
40,4002,26,30,993.25,116.0028586,28.37093762,4570,1704931270,/h2s:1.543/so2:4.27/ch4:359/cs2:1573
40,4003,26,30,993.25,116.0029496,28.3709279,4584,1704931284,/h2s:4.887/so2:10/ch4:488/cs2:1374
40,4004,26,30,993.25,116.003439,28.37091462,4626,1704931326,/h2s:0.302/so2:2.328/ch4:631/cs2:776
40,4005,26,30,993.25,116.0035781,28.37088116,4640,1704931340,/h2s:0.863/so2:3.78/ch4:593/cs2:1163
40,4006,26,30,993.25,116.0037492,28.37086177,4654,1704931354,/h2s:0.532/so2:2.012/ch4:490/cs2:4252
40,4007,26,30,993.25,116.0039043,28.3708613,4668,1704931368,/h2s:0/so2:0.264/ch4:485/cs2:2698
40,4008,26,30,993.25,116.0040274,28.37086564,4682,1704931382,/h2s:0.338/so2:1.086/ch4:359/cs2:2601
40,4009,26,30,993.25,116.0041771,28.37085104,4698,1704931398,/h2s:0.773/so2:2.939/ch4:464/cs2:1214
40,4010,26,30,993.25,116.0043429,28.37086469,4710,1704931410,/h2s:0.204/so2:1.323/ch4:526/cs2:710
40,4011,26,30,993.25,116.0045088,28.37086655,4724,1704931424,/h2s:0.692/so2:1.666/ch4:497/cs2:1314
40,4012,26,30,993.25,116.0046478,28.37085669,4738,1704931438,/h2s:0.036/so2:0.884/ch4:480/cs2:1641
40,4013,26,30,993.25,116.0047949,28.37084444,4752,1704931452,/h2s:0.033/so2:0.63/ch4:391/cs2:1030
40,4014,26,30,993.25,116.0049768,28.37084625,4766,1704931466,/h2s:0/so2:0.654/ch4:435/cs2:2041
40,4015,26,30,993.25,116.0050998,28.37084352,4780,1704931480,/h2s:0.421/so2:2.584/ch4:468/cs2:1801
40,4016,26,30,993.25,116.0053099,28.37082649,4794,1704931494,/h2s:0.139/so2:0.875/ch4:317/cs2:1731
40,4017,26,30,993.25,116.00541,28.37084494,4808,1704931508,/h2s:0.592/so2:4.196/ch4:352/cs2:2009
40,4018,26,30,993.25,116.0055982,28.37081483,4822,1704931522,/h2s:0.147/so2:1.218/ch4:476/cs2:1710
40,4019,26,30,993.25,116.0057149,28.37080154,4836,1704931536,/h2s:0.046/so2:0.852/ch4:438/cs2:1365
40,4020,26,30,993.25,116.0059048,28.37082221,4850,1704931550,/h2s:1.396/so2:4.531/ch4:516/cs2:1033
40,4021,26,30,993.25,116.0060412,28.37081472,4864,1704931564,/h2s:0.915/so2:1.895/ch4:650/cs2:1653
40,4022,26,30,993.25,116.006207,28.37084726,4879,1704931579,/h2s:0.005/so2:0.607/ch4:515/cs2:1937
40,4023,26,30,993.25,116.0063822,28.37082666,4892,1704931592,/h2s:0.018/so2:1.335/ch4:749/cs2:595
40,4024,26,30,993.25,116.0064865,28.37081928,4906,1704931606,/h2s:0.791/so2:4.072/ch4:562/cs2:1469
40,4025,26,30,993.25,116.006643,28.37079403,4920,1704931620,/h2s:0.398/so2:1.292/ch4:485/cs2:2688
40,4026,26,30,993.25,116.0067941,28.37079829,4934,1704931634,/h2s:0.297/so2:1.234/ch4:645/cs2:3229
40,4027,26,30,993.25,116.0069265,28.37080379,4948,1704931648,/h2s:2.958/so2:10/ch4:591/cs2:1529
40,4028,26,30,993.25,116.0071349,28.37078649,4962,1704931662,/h2s:1.393/so2:4.496/ch4:473/cs2:1022
40,4029,26,30,993.25,116.0072795,28.37079447,4976,1704931676,/h2s:0.276/so2:1.436/ch4:519/cs2:3817
40,4030,26,30,993.25,116.0074132,28.37077991,4990,1704931690,/h2s:1.965/so2:5.06/ch4:481/cs2:1656
40,4031,26,30,993.25,116.0075737,28.37078414,5004,1704931704,/h2s:0.811/so2:3.079/ch4:348/cs2:1945
40,4032,26,30,993.25,116.0077127,28.370779,5018,1704931718,/h2s:0.289/so2:1.759/ch4:480/cs2:1723
40,4033,26,30,993.25,116.0078706,28.37077168,5032,1704931732,/h2s:2.104/so2:5.637/ch4:485/cs2:1959
40,4034,26,30,993.25,116.0081781,28.3707422,5046,1704931746,/h2s:0.224/so2:0.809/ch4:565/cs2:1973
40,4035,26,30,993.25,116.0082614,28.37077452,5060,1704931760,/h2s:0.129/so2:0.977/ch4:506/cs2:716
40,4036,26,30,993.25,116.0083449,28.37078149,5074,1704931774,/h2s:0.165/so2:2.129/ch4:599/cs2:953
40,4037,26,30,993.25,116.0085033,28.37073649,5088,1704931788,/h2s:4.809/so2:10/ch4:469/cs2:3922
40,4038,26,30,993.25,116.0086799,28.37076982,5102,1704931802,/h2s:0/so2:0.295/ch4:502/cs2:2801
40,4039,26,30,993.25,116.0088416,28.37075649,5116,1704931816,/h2s:0.028/so2:0.883/ch4:343/cs2:2351
40,4040,26,30,993.25,116.0089899,28.37076648,5130,1704931830,/h2s:0.615/so2:3.799/ch4:450/cs2:1134
40,4041,26,30,993.25,116.0091016,28.37074315,5144,1704931844,/h2s:1.292/so2:6.777/ch4:541/cs2:595
40,4042,26,30,993.25,116.0092666,28.37073648,5158,1704931858,/h2s:1.065/so2:2.9/ch4:536/cs2:1681
40,4043,26,30,993.25,116.0094366,28.37074482,5172,1704931872,/h2s:0.074/so2:0.447/ch4:608/cs2:1609
40,4044,26,30,993.25,116.0095733,28.37072316,5186,1704931886,/h2s:0.062/so2:0.572/ch4:656/cs2:1159
40,4045,26,30,993.25,116.0097466,28.37072982,5200,1704931900,/h2s:0.436/so2:1.487/ch4:519/cs2:1424
40,4046,26,30,993.25,116.0099066,28.37073816,5214,1704931914,/h2s:2.696/so2:5.69/ch4:489/cs2:1869
40,4047,26,30,993.25,116.0100366,28.37073149,5228,1704931928,/h2s:0.248/so2:0.984/ch4:353/cs2:2288
40,4048,26,30,993.25,116.0101783,28.37072315,5242,1704931942,/h2s:0.806/so2:3.102/ch4:363/cs2:1375
40,4049,26,30,993.25,116.010345,28.37071316,5256,1704931956,/h2s:2.378/so2:5.371/ch4:493/cs2:1381
40,4050,26,30,993.25,116.010485,28.37070815,5270,1704931970,/h2s:0.801/so2:2.81/ch4:570/cs2:3051
40,4051,26,30,993.25,116.010655,28.37069149,5284,1704931984,/h2s:0.571/so2:1.693/ch4:541/cs2:1653
